DOWNLOAD,TIME_PERIOD,GEO,AGE,SEX,OBS_STATUS,OBS_VALUE,YEAR,CW,VALUE
2021-02-02T12:41:01,2021-W01,CH,_T,T,P,1729,2021,01,1729
2021-02-02T12:41:01,2021-W01,CH011,_T,T,P,83,2021,01,83
2021-02-02T12:41:01,2021-W01,CH021,_T,T,P,254,2021,01,254
2021-02-02T12:41:01,2021-W01,CH040,_T,T,P,289,2021,01,289
2021-02-02T12:41:01,2021-W01,CH070,_T,T,P,93,2021,01,93
2021-02-02T12:41:01,2021-W02,CH,_T,T,P,1535,2021,02,1535
2021-02-02T12:41:01,2021-W02,CH011,_T,T,P,54,2021,02,54
2021-02-02T12:41:01,2021-W02,CH021,_T,T,P,169,2021,02,169
2021-02-02T12:41:01,2021-W02,CH040,_T,T,P,279,2021,02,279
2021-02-02T12:41:01,2021-W02,CH070,_T,T,P,87,2021,02,87
2021-02-03T07:04:04,2021-W02,CH,_T,T,P,1664,2021,02,1664
2021-02-03T07:04:04,2021-W02,CH011,_T,T,P,114,2021,02,114
2021-02-03T07:04:04,2021-W02,CH021,_T,T,P,173,2021,02,173
2021-02-03T07:04:04,2021-W02,CH040,_T,T,P,287,2021,02,287
2021-02-03T07:04:04,2021-W02,CH070,_T,T,P,89,2021,02,89
2021-02-03T07:04:04,2021-W03,CH,_T,T,P,1555,2021,03,1555
2021-02-03T07:04:04,2021-W03,CH011,_T,T,P,56,2021,03,56
2021-02-03T07:04:04,2021-W03,CH021,_T,T,P,234,2021,03,234
2021-02-03T07:04:04,2021-W03,CH040,_T,T,P,273,2021,03,273
2021-02-03T07:04:04,2021-W03,CH070,_T,T,P,80,2021,03,80
2021-02-10T06:59:42,2021-W03,CH,_T,T,P,1648,2021,03,1648
2021-02-10T06:59:42,2021-W03,CH011,_T,T,P,96,2021,03,96
2021-02-10T06:59:42,2021-W03,CH021,_T,T,P,234,2021,03,234
2021-02-10T06:59:42,2021-W03,CH040,_T,T,P,278,2021,03,278
2021-02-10T06:59:42,2021-W03,CH070,_T,T,P,85,2021,03,85
2021-02-10T06:59:42,2021-W04,CH,_T,T,P,1438,2021,04,1438
2021-02-10T06:59:42,2021-W04,CH011,_T,T,P,90,2021,04,90
2021-02-10T06:59:42,2021-W04,CH021,_T,T,P,221,2021,04,221
2021-02-10T06:59:42,2021-W04,CH040,_T,T,P,229,2021,04,229
2021-02-10T06:59:42,2021-W04,CH070,_T,T,P,82,2021,04,82
2021-02-24T17:44:29,2021-W05,CH,_T,T,P,1326,2021,05,1326
2021-02-24T17:44:29,2021-W05,CH011,_T,T,P,86,2021,05,86
2021-02-24T17:44:29,2021-W05,CH021,_T,T,P,178,2021,05,178
2021-02-24T17:44:29,2021-W05,CH040,_T,T,P,237,2021,05,237
2021-02-24T17:44:29,2021-W05,CH070,_T,T,P,61,2021,05,61
2021-02-24T17:44:29,2021-W06,CH,_T,T,P,1194,2021,06,1194
2021-02-24T17:44:29,2021-W06,CH011,_T,T,P,7,2021,06,7
2021-02-24T17:44:29,2021-W06,CH021,_T,T,P,175,2021,06,175
2021-02-24T17:44:29,2021-W06,CH040,_T,T,P,235,2021,06,235
2021-02-24T17:44:29,2021-W06,CH070,_T,T,P,56,2021,06,56
2021-03-03T07:00:59,2021-W06,CH,_T,T,P,1281,2021,06,1281
2021-03-03T07:00:59,2021-W06,CH011,_T,T,P,55,2021,06,55
2021-03-03T07:00:59,2021-W06,CH021,_T,T,P,179,2021,06,179
2021-03-03T07:00:59,2021-W06,CH040,_T,T,P,241,2021,06,241
2021-03-03T07:00:59,2021-W06,CH070,_T,T,P,56,2021,06,56
2021-03-03T07:00:59,2021-W07,CH,_T,T,P,1092,2021,07,1092
2021-03-03T07:00:59,2021-W07,CH011,_T,T,P,4,2021,07,4
2021-03-03T07:00:59,2021-W07,CH021,_T,T,P,168,2021,07,168
2021-03-03T07:00:59,2021-W07,CH040,_T,T,P,188,2021,07,188
2021-03-03T07:00:59,2021-W07,CH070,_T,T,P,49,2021,07,49
2021-03-15T08:09:30,2021-W07,CH,_T,T,P,1143,2021,07,1143
2021-03-15T08:09:30,2021-W07,CH011,_T,T,P,28,2021,07,28
2021-03-15T08:09:30,2021-W07,CH021,_T,T,P,169,2021,07,169
2021-03-15T08:09:30,2021-W07,CH040,_T,T,P,198,2021,07,198
2021-03-15T08:09:30,2021-W07,CH070,_T,T,P,52,2021,07,52
2021-03-15T08:09:30,2021-W08,CH,_T,T,P,1113,2021,08,1113
2021-03-15T08:09:30,2021-W08,CH011,_T,T,P,15,2021,08,15
2021-03-15T08:09:30,2021-W08,CH021,_T,T,P,164,2021,08,164
2021-03-15T08:09:30,2021-W08,CH040,_T,T,P,168,2021,08,168
2021-03-15T08:09:30,2021-W08,CH070,_T,T,P,40,2021,08,40
