source,activity,timestamp,status,resource
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei20,check-in,2020-09-22T02:00:00,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei33,check-in,2020-12-24T10:46:08,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei34,check-in,2020-12-30T10:46:08,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei35,check-in,2021-01-06T10:46:08,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei36,check-in,2021-01-13T10:46:08,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei37,check-in,2021-01-20T10:46:08,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei7,check-in,2020-06-09T02:00:00,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei38,check-in,2021-01-27T10:50:20,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei33,hidden,2020-12-31T10:46:08,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei34,hidden,2021-01-07T10:46:08,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei35,hidden,2021-01-14T10:46:08,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei36,hidden,2021-01-21T08:50:24,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei37,hidden,2021-01-28T08:50:24,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei38,hidden,2021-02-04T10:21:47,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei39,check-in,2021-02-04T10:21:47,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei40,check-in,2021-02-10T06:59:42,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei39,hidden,2021-02-11T07:00:05,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei40,hidden,2021-02-24T17:44:29,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei42,check-in,2021-02-24T17:44:29,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei43,check-in,2021-03-03T07:00:59,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei42,hidden,2021-03-04T07:01:06,complete,BfS
todesfalle-nach-funf-jahres-altersgruppe-geschlecht-woche-und-kanton-csv-datei20,hidden,2021-03-05T07:01:33,complete,BfS
